Issue Number,Date Published,English,Farsi,Arabic
1,2017-06-24,https://archive.org/details/grenfell-fire-response-news-issue-1,,
2,2017-06-25,https://archive.org/details/grenfell-fire-response-news-issue-2,,
3,2017-06-26,https://archive.org/details/grenfell-fire-response-news-issue-3,,
4,2017-06-27,https://archive.org/details/grenfell-fire-response-news-issue-4,,
5,2017-06-28,https://archive.org/details/grenfell-fire-response-news-issue-5,,
6,2017-06-29,https://archive.org/details/grenfell-fire-response-news-issue-6,,
7,2017-06-30,https://archive.org/details/grenfell-fire-response-news-issue-7,,
8,2017-07-01,https://archive.org/details/grenfell-fire-response-news-issue-8,,
9,2017-07-03,https://archive.org/details/grenfell-fire-response-news-issue-9,,
10,2017-07-04,https://archive.org/details/grenfell-fire-response-news-issue-10,https://archive.org/details/grenfell-fire-response-news-issue-10-farsi,https://archive.org/details/grenfell-fire-response-news-issue-10-arabic
11,2017-07-05,https://archive.org/details/grenfell-fire-response-news-issue-11,https://archive.org/details/grenfell-fire-response-news-issue-11-farsi,https://archive.org/details/grenfell-fire-response-news-issue-11-arabic
12,2017-07-06,https://archive.org/details/grenfell-fire-response-news-issue-12,https://archive.org/details/grenfell-fire-response-news-issue-12-farsi,https://archive.org/details/grenfell-fire-response-news-issue-12-arabic
13,2017-07-07,https://archive.org/details/grenfell-fire-response-news-issue-13,https://archive.org/details/grenfell-fire-response-news-issue-13-farsi,https://archive.org/details/grenfell-fire-response-news-issue-13-arabic
14,2017-07-08,https://archive.org/details/grenfell-fire-response-news-issue-14,https://archive.org/details/grenfell-fire-response-news-issue-14-farsi,https://archive.org/details/grenfell-fire-response-news-issue-14-arabic
15,2017-07-11,https://archive.org/details/grenfell-fire-response-news-issue-15,https://archive.org/details/grenfell-fire-response-news-issue-15-farsi,https://archive.org/details/grenfell-fire-response-news-issue-15-arabic
16,2017-07-12,https://archive.org/details/grenfell-fire-response-news-issue-16,https://archive.org/details/grenfell-fire-response-news-issue-16-farsi,https://archive.org/details/grenfell-fire-response-news-issue-16-arabic
17,2017-07-13,https://archive.org/details/grenfell-fire-response-news-issue-17,https://archive.org/details/grenfell-fire-response-news-issue-17-farsi,https://archive.org/details/grenfell-fire-response-news-issue-17-arabic
18,2017-07-14,https://archive.org/details/grenfell-fire-response-news-issue-18,https://archive.org/details/grenfell-fire-response-news-issue-18-farsi,https://archive.org/details/grenfell-fire-response-news-issue-18-arabic
19,2017-07-15,https://archive.org/details/grenfell-fire-response-news-issue-19,https://archive.org/details/grenfell-fire-response-news-issue-19-farsi,https://archive.org/details/grenfell-fire-response-news-issue-19-arabic
20,2017-07-18,https://archive.org/details/grenfell-fire-response-news-issue-20,https://archive.org/details/grenfell-fire-response-news-issue-20-farsi,https://archive.org/details/grenfell-fire-response-news-issue-20-arabic
