Document,File,Mirror 
Sir Martin Moore-Bick video statement,https://assets.grenfelltowerinquiry.org.uk/Phase%201%20report%20Chairman%20statement.mp4,https://web.archive.org/web/20210905203722/https://assets.grenfelltowerinquiry.org.uk/Phase%201%20report%20Chairman%20statement.mp4
Sir Martin Moore-Bick video statement (with subtitles),https://assets.grenfelltowerinquiry.org.uk/Grenfell%20Tower%20Report%20-%2030th%20October%202019%20(subtitles).mp4,https://web.archive.org/web/20210905203723/https://assets.grenfelltowerinquiry.org.uk/Grenfell%20Tower%20Report%20-%2030th%20October%202019%20(subtitles).mp4
Report Overview,https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary.pdf,https://web.archive.org/web/20211203025410/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary.pdf
Report – Volume 1,https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20-%20volume%201.pdf,https://web.archive.org/web/20210906193119/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20-%20volume%201.pdf
Report – Volume 2,https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20-%20volume%202.pdf,https://web.archive.org/web/20210906193116/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20-%20volume%202.pdf
Report – Volume 3,https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20-%20volume%203.pdf,https://web.archive.org/web/20210906193112/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20-%20volume%203.pdf
Report – Volume 4,https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20-%20volume%204.pdf,https://web.archive.org/web/20210906193113/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20-%20volume%204.pdf
Report Overview (large print),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(large%20print).pdf,https://web.archive.org/web/20210906025818/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28large%20print%29.pdf
Report – Volume 1 (large print),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20(large%20print)%20-%20volume%201.pdf,https://web.archive.org/web/20210906025822/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20%28large%20print%29%20-%20volume%201.pdf
Report – Volume 2 (large print),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20(large%20print)%20-%20volume%202.pdf,https://web.archive.org/web/20210906025819/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20%28large%20print%29%20-%20volume%202.pdf
Report – Volume 3 (large print),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20(large%20print)%20-%20volume%203.pdf,https://web.archive.org/web/20210906025821/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20%28large%20print%29%20-%20volume%203.pdf
Report – Volume 4 (large print),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20(large%20print)%20-%20volume%204.pdf,https://web.archive.org/web/20210906025819/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20full%20report%20%28large%20print%29%20-%20volume%204.pdf
Report Overview (Amharic),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(Amharic).pdf,https://web.archive.org/web/20210906025530/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28Amharic%29.pdf
Report Overview (Arabic),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(Arabic).pdf,https://web.archive.org/web/20210906030818/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28Arabic%29.pdf
Report Overview (Bengali),https://assets.grenfelltowerinquiry.org.uk/inline-files/CCS001_CCS0719597372-007_GTI%20Phase%201%20Overview_BEN.pdf,https://web.archive.org/web/20210905203721/https://assets.grenfelltowerinquiry.org.uk/inline-files/CCS001_CCS0719597372-007_GTI%20Phase%201%20Overview_BEN.pdf
Report Overview (Cantonese),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(Cantonese).pdf,https://web.archive.org/web/20210906030856/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28Cantonese%29.pdf
Report Overview (Dari),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(Dari).pdf,https://web.archive.org/web/20210906025531/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28Dari%29.pdf
Report Overview (Farsi),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(Farsi).pdf,https://web.archive.org/web/20210906025738/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28Farsi%29.pdf
Report Overview (French),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(French).pdf,https://web.archive.org/web/20210906020647/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28French%29.pdf
Report Overview (Italian),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(Italian).pdf,https://web.archive.org/web/20210906020644/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28Italian%29.pdf
Report Overview (Japanese),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(Japanese).pdf,https://web.archive.org/web/20210906030857/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28Japanese%29.pdf
Report Overview (Portuguese),https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20(Portuguese).pdf,https://web.archive.org/web/20210906020642/https://assets.grenfelltowerinquiry.org.uk/GTI%20-%20Phase%201%20report%20Executive%20Summary%20%28Portuguese%29.pdf
