Organisation,Position,Website,Archives[0],Archives[1]
Together for Yes,Repeal,https://www.togetherforyes.ie/,https://web.archive.org/web/*/https://www.togetherforyes.ie/ https://archive.is/https://www.togetherforyes.ie/,https://archive.is/https://www.togetherforyes.ie/
Irish Council for Civil Liberties,Repeal,https://www.iccl.ie/her-rights/,https://web.archive.org/web/*/https://www.iccl.ie/her-rights/ https://archive.is/https://www.iccl.ie/her-rights/,https://archive.is/https://www.iccl.ie/her-rights/
Parents Together For Yes,Repeal,http://parentsforchoice.ie/,https://web.archive.org/web/*/http://parentsforchoice.ie/ https://archive.is/http://parentsforchoice.ie/,https://archive.is/http://parentsforchoice.ie/
Abortion Rights Campaign Ireland,Repeal,https://www.abortionrightscampaign.ie/,https://web.archive.org/web/*/https://www.abortionrightscampaign.ie/ https://archive.is/https://www.abortionrightscampaign.ie/,https://archive.is/https://www.abortionrightscampaign.ie/
LoveBoth,Keep,https://loveboth.ie/,https://web.archive.org/web/*/https://loveboth.ie/ https://archive.is/https://loveboth.ie/,https://archive.is/https://www.abortionrightscampaign.ie/
Save the 8th,Keep,https://www.save8.ie/,https://web.archive.org/web/*/https://www.save8.ie/ https://archive.is/https://www.save8.ie/,https://archive.is/https://loveboth.ie/
Protect the 8th,Keep,https://protectthe8th.ie/,https://web.archive.org/web/*/https://protectthe8th.ie/ https://archive.is/https://protectthe8th.ie/,https://archive.is/https://protectthe8th.ie/
Prolife.ie,Keep,http://prolife.ie/,https://web.archive.org/web/*/http://prolife.ie/ https://archive.is/http://prolife.ie/,https://archive.is/http://prolife.ie/
Youth Defence,Keep,http://www.youthdefence.ie/,https://web.archive.org/web/*/http://www.youthdefence.ie/ https://archive.is/http://www.youthdefence.ie/,https://archive.is/http://www.youthdefence.ie/
Pro Life Campaign Ireland,Keep,https://prolifecampaign.ie/,https://web.archive.org/web/*/https://prolifecampaign.ie/ https://archive.is/https://prolifecampaign.ie/,https://archive.is/https://prolifecampaign.ie/
Life Institute,Keep,http://www.thelifeinstitute.net/,https://web.archive.org/web/*/http://www.thelifeinstitute.net/ https://archive.is/http://www.thelifeinstitute.net/,https://archive.is/http://www.thelifeinstitute.net/
Rally for life,Keep,https://rallyforlife.net/,https://web.archive.org/web/*/https://rallyforlife.net/ https://archive.is/https://rallyforlife.net/,https://archive.is/https://rallyforlife.net/
