Name,Constituency,National Party,European Parliament Group,Website,European Parliament Profile,Twitter,Facebook
Emma McClarkin,East Midlands,Conservative Party,ECR,http://emmamcclarkin.com/,http://www.europarl.europa.eu/meps/en/96919/EMMA_MCCLARKIN_home.html,https://twitter.com/EmmaMcClarkin,https://www.facebook.com/EMcClarkinMEP/
Rupert Matthews,East Midlands,Conservative Party,ECR,https://rupertmatthews.com/,http://www.europarl.europa.eu/meps/en/188622/RUPERT_MATTHEWS_home.html,https://twitter.com/RMatthewsMEP,https://www.facebook.com/RupertMatthewsMEP/
Geoffrey Van Orden,East of England,Conservative Party,ECR,http://www.geoffreyvanorden.com/,http://www.europarl.europa.eu/meps/en/4513/GEOFFREY_VAN+ORDEN_home.html,https://twitter.com/GVOMEP,https://www.facebook.com/geoffreyvanorden
John Flack,East of England,Conservative Party,ECR,https://www.johnflack.uk/,http://www.europarl.europa.eu/meps/en/188623/JOHN_FLACK_home.html,https://twitter.com/johnflackmep,https://www.facebook.com/JohnFlackMEP
David Campbell Bannerman,East of England,Conservative Party,ECR,http://www.dcbmep.org/,http://www.europarl.europa.eu/meps/en/96912/DAVID_CAMPBELL+BANNERMAN_home.html,https://twitter.com/DCBMEP,https://www.facebook.com/DCBMEP
Charles Tannock,London,Conservative Party,ECR,http://charlestannock.com/,http://www.europarl.europa.eu/meps/en/4521/CHARLES_TANNOCK_home.html,https://twitter.com/CharlesTannock,
Syed Kamall,London,Conservative Party,ECR,http://syedkamall.co.uk/,http://www.europarl.europa.eu/meps/en/33569/SYED_KAMALL_home.html,https://twitter.com/SyedKamall,https://www.facebook.com/SyedKamallMEP/
Saj Karim,North West England,Conservative Party,ECR,https://www.sajjadkarim.eu/,http://www.europarl.europa.eu/meps/en/28481/SAJJAD_KARIM_home.html,https://twitter.com/SHKMEP,https://www.facebook.com/SajjadKarimMEP/
Jacqueline Foster,North West England,Conservative Party,ECR,https://www.jacquelinefostermep.com/,http://www.europarl.europa.eu/meps/en/4553/JACQUELINE_FOSTER_home.html,https://twitter.com/jfostermep,https://www.facebook.com/JacquelineFosterMEP/
Nosheena Mobarik,Scotland,Conservative Party,ECR,http://www.nosheenamobarik.com/,http://www.europarl.europa.eu/meps/en/189391/Baroness_NOSHEENA_MOBARIK_home.html,https://twitter.com/NosheenaMobarik,https://www.facebook.com/BaronessMobarik/
