Name,Run By,Registration,Quick Save,Website
Archive-It,Internet Archive,Yes,No,https://archive-it.org/
Archive.is,,No,Yes,https://archive.is/
Arquivo.pt,The Portuguese Web Archive,No,No,http://arquivo.pt/index.jsp?l=en
Australian Government Web Archive,National Library of Australia,No,No,http://webarchive.nla.gov.au/gov/
Government of Canada Web Archive,Library and Archives Canada,No,No,http://webarchive.bac-lac.gc.ca/
Icelandic Web Archive,National and University Library of Iceland,No,No,https://vefsafn.is/
Library of Congress Web Archives,Library of Congress,No,No,http://webarchive.loc.gov/
Perma.cc,Harvard Library Innovation Lab,Yes,Yes,https://perma.cc/
UK Government Web Archive,The National Archives (UK),No,No,http://www.nationalarchives.gov.uk/webarchive/
UK Parliament Web Archive,MirrorWeb Limited,No,No,http://webarchive.parliament.uk/
UK Web Archive,British Library/MirrorWeb Limited,No,No,https://www.webarchive.org.uk/ukwa/
Webarchiv,National Library of the Czech Republic,No,No,https://www.webarchiv.cz/en/
WebCite,University of Toronto,Yes,Yes,https://www.webcitation.org/
webharvest.gov,U.S. National Archives,No,No,https://www.webharvest.gov/
Wayback Machine,Internet Archive,Optional,Yes,https://web.archive.org/
Webrecorder,Rhizome,Optional,Yes,https://webrecorder.io/
